[TRACE] 23:03:03:154 nivel4/(10013:10013): Personaje a mover #, posicionX 42 posicionY 1
[TRACE] 23:03:03:154 nivel4/(10013:10013): Movimiento personaje: x: 42, y: 1

[TRACE] 23:03:03:255 nivel4/(10013:10013): Personaje a mover #, posicionX 43 posicionY 1
[TRACE] 23:03:03:255 nivel4/(10013:10013): Movimiento personaje: x: 43, y: 1

[TRACE] 23:03:04:553 nivel4/(10013:10013): Personaje a mover &, posicionX 33 posicionY 3
[TRACE] 23:03:04:553 nivel4/(10013:10013): Movimiento personaje: x: 33, y: 3

[TRACE] 23:03:04:653 nivel4/(10013:10013): Personaje a mover &, posicionX 34 posicionY 3
[TRACE] 23:03:04:653 nivel4/(10013:10013): Movimiento personaje: x: 34, y: 3

[TRACE] 23:03:04:755 nivel4/(10013:10013): Personaje a mover &, posicionX 35 posicionY 3
[TRACE] 23:03:04:755 nivel4/(10013:10013): Movimiento personaje: x: 35, y: 3

[TRACE] 23:03:06:55 nivel4/(10013:10013): Personaje a mover #, posicionX 44 posicionY 1
[TRACE] 23:03:06:55 nivel4/(10013:10013): Movimiento personaje: x: 44, y: 1

[TRACE] 23:03:06:156 nivel4/(10013:10013): Personaje a mover #, posicionX 45 posicionY 1
[TRACE] 23:03:06:156 nivel4/(10013:10013): Movimiento personaje: x: 45, y: 1

[TRACE] 23:03:06:257 nivel4/(10013:10013): Personaje a mover #, posicionX 46 posicionY 1
[TRACE] 23:03:06:257 nivel4/(10013:10013): Movimiento personaje: x: 46, y: 1

[TRACE] 23:03:07:556 nivel4/(10013:10013): Personaje a mover &, posicionX 36 posicionY 3
[TRACE] 23:03:07:556 nivel4/(10013:10013): Movimiento personaje: x: 36, y: 3

[TRACE] 23:03:07:657 nivel4/(10013:10013): Personaje a mover &, posicionX 37 posicionY 3
[TRACE] 23:03:07:657 nivel4/(10013:10013): Movimiento personaje: x: 37, y: 3

[TRACE] 23:03:07:758 nivel4/(10013:10013): Personaje a mover &, posicionX 38 posicionY 3
[TRACE] 23:03:07:758 nivel4/(10013:10013): Movimiento personaje: x: 38, y: 3

[TRACE] 23:03:09:58 nivel4/(10013:10013): Personaje a mover #, posicionX 47 posicionY 1
[TRACE] 23:03:09:58 nivel4/(10013:10013): Movimiento personaje: x: 47, y: 1

[TRACE] 23:03:09:159 nivel4/(10013:10013): Personaje a mover #, posicionX 48 posicionY 1
[TRACE] 23:03:09:159 nivel4/(10013:10013): Movimiento personaje: x: 48, y: 1

[TRACE] 23:03:09:259 nivel4/(10013:10013): Personaje a mover #, posicionX 49 posicionY 1
[TRACE] 23:03:09:259 nivel4/(10013:10013): Movimiento personaje: x: 49, y: 1

