[TRACE] 23:03:06:758 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 16
[TRACE] 23:03:06:759 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 16

[TRACE] 23:03:06:941 nivel2/(10007:10008): Deadlock check started.
[TRACE] 23:03:08:56 nivel2/(10007:10007): Personaje a mover *, posicionX 19 posicionY 15
[TRACE] 23:03:08:56 nivel2/(10007:10007): Movimiento personaje: x: 19, y: 15

[TRACE] 23:03:08:57 nivel2/(10007:10007): Recurso a asignar F
[TRACE] 23:03:09:457 nivel2/(10007:10007): Pedido posicion recurso: C
[TRACE] 23:03:09:558 nivel2/(10007:10007): Personaje a mover *, posicionX 20 posicionY 15
[TRACE] 23:03:09:558 nivel2/(10007:10007): Movimiento personaje: x: 20, y: 15

[TRACE] 23:03:09:658 nivel2/(10007:10007): Personaje a mover *, posicionX 21 posicionY 15
[TRACE] 23:03:09:659 nivel2/(10007:10007): Movimiento personaje: x: 21, y: 15

[TRACE] 23:03:09:759 nivel2/(10007:10007): Personaje a mover *, posicionX 22 posicionY 15
[TRACE] 23:03:09:759 nivel2/(10007:10007): Movimiento personaje: x: 22, y: 15

[TRACE] 23:03:11:61 nivel2/(10007:10007): Personaje a mover *, posicionX 23 posicionY 15
[TRACE] 23:03:11:61 nivel2/(10007:10007): Movimiento personaje: x: 23, y: 15

[TRACE] 23:03:11:162 nivel2/(10007:10007): Personaje a mover *, posicionX 24 posicionY 15
[TRACE] 23:03:11:162 nivel2/(10007:10007): Movimiento personaje: x: 24, y: 15

[TRACE] 23:03:11:264 nivel2/(10007:10007): Personaje a mover *, posicionX 25 posicionY 15
[TRACE] 23:03:11:264 nivel2/(10007:10007): Movimiento personaje: x: 25, y: 15

[TRACE] 23:03:12:560 nivel2/(10007:10007): Personaje a mover *, posicionX 26 posicionY 15
[TRACE] 23:03:12:560 nivel2/(10007:10007): Movimiento personaje: x: 26, y: 15

[TRACE] 23:03:12:661 nivel2/(10007:10007): Personaje a mover *, posicionX 27 posicionY 15
[TRACE] 23:03:12:661 nivel2/(10007:10007): Movimiento personaje: x: 27, y: 15

[TRACE] 23:03:12:762 nivel2/(10007:10007): Personaje a mover *, posicionX 28 posicionY 15
[TRACE] 23:03:12:762 nivel2/(10007:10007): Movimiento personaje: x: 28, y: 15

[TRACE] 23:03:14:61 nivel2/(10007:10007): Personaje a mover *, posicionX 29 posicionY 15
[TRACE] 23:03:14:61 nivel2/(10007:10007): Movimiento personaje: x: 29, y: 15

[TRACE] 23:03:14:162 nivel2/(10007:10007): Personaje a mover *, posicionX 30 posicionY 15
[TRACE] 23:03:14:162 nivel2/(10007:10007): Movimiento personaje: x: 30, y: 15

[TRACE] 23:03:14:262 nivel2/(10007:10007): Personaje a mover *, posicionX 31 posicionY 15
[TRACE] 23:03:14:263 nivel2/(10007:10007): Movimiento personaje: x: 31, y: 15

[TRACE] 23:03:15:564 nivel2/(10007:10007): Personaje a mover *, posicionX 32 posicionY 15
[TRACE] 23:03:15:564 nivel2/(10007:10007): Movimiento personaje: x: 32, y: 15

[TRACE] 23:03:15:665 nivel2/(10007:10007): Personaje a mover *, posicionX 33 posicionY 15
[TRACE] 23:03:15:665 nivel2/(10007:10007): Movimiento personaje: x: 33, y: 15

[TRACE] 23:03:15:766 nivel2/(10007:10007): Personaje a mover *, posicionX 34 posicionY 15
[TRACE] 23:03:15:766 nivel2/(10007:10007): Movimiento personaje: x: 34, y: 15

[TRACE] 23:03:16:942 nivel2/(10007:10008): Deadlock check started.
[TRACE] 23:03:17:66 nivel2/(10007:10007): Personaje a mover *, posicionX 35 posicionY 15
[TRACE] 23:03:17:66 nivel2/(10007:10007): Movimiento personaje: x: 35, y: 15

[TRACE] 23:03:17:168 nivel2/(10007:10007): Personaje a mover *, posicionX 36 posicionY 15
[TRACE] 23:03:17:168 nivel2/(10007:10007): Movimiento personaje: x: 36, y: 15

[TRACE] 23:03:17:269 nivel2/(10007:10007): Personaje a mover *, posicionX 37 posicionY 15
[TRACE] 23:03:17:269 nivel2/(10007:10007): Movimiento personaje: x: 37, y: 15

[TRACE] 23:03:18:570 nivel2/(10007:10007): Personaje a mover *, posicionX 38 posicionY 15
[TRACE] 23:03:18:570 nivel2/(10007:10007): Movimiento personaje: x: 38, y: 15

[TRACE] 23:03:18:671 nivel2/(10007:10007): Personaje a mover *, posicionX 39 posicionY 15
[TRACE] 23:03:18:671 nivel2/(10007:10007): Movimiento personaje: x: 39, y: 15

[TRACE] 23:03:18:772 nivel2/(10007:10007): Personaje a mover *, posicionX 40 posicionY 15
[TRACE] 23:03:18:772 nivel2/(10007:10007): Movimiento personaje: x: 40, y: 15

[TRACE] 23:03:20:72 nivel2/(10007:10007): Personaje a mover *, posicionX 41 posicionY 15
[TRACE] 23:03:20:72 nivel2/(10007:10007): Movimiento personaje: x: 41, y: 15

[TRACE] 23:03:20:173 nivel2/(10007:10007): Personaje a mover *, posicionX 42 posicionY 15
[TRACE] 23:03:20:174 nivel2/(10007:10007): Movimiento personaje: x: 42, y: 15

[TRACE] 23:03:20:275 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 15
[TRACE] 23:03:20:275 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 15

[TRACE] 23:03:21:72 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 16
[TRACE] 23:03:21:72 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 16

[TRACE] 23:03:21:174 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 17
[TRACE] 23:03:21:174 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 17

[TRACE] 23:03:21:275 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 18
[TRACE] 23:03:21:275 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 18

[TRACE] 23:03:22:574 nivel2/(10007:10007): Personaje a mover *, posicionX 43 posicionY 19
[TRACE] 23:03:22:574 nivel2/(10007:10007): Movimiento personaje: x: 43, y: 19

[TRACE] 23:03:22:574 nivel2/(10007:10007): Recurso a asignar C
[TRACE] 23:03:23:975 nivel2/(10007:10007): Pedido posicion recurso: F
[TRACE] 23:03:24:77 nivel2/(10007:10007): Personaje a mover *, posicionX 42 posicionY 19
[TRACE] 23:03:24:77 nivel2/(10007:10007): Movimiento personaje: x: 42, y: 19

[TRACE] 23:03:24:177 nivel2/(10007:10007): Personaje a mover *, posicionX 41 posicionY 19
[TRACE] 23:03:24:177 nivel2/(10007:10007): Movimiento personaje: x: 41, y: 19

[TRACE] 23:03:24:278 nivel2/(10007:10007): Personaje a mover *, posicionX 40 posicionY 19
[TRACE] 23:03:24:278 nivel2/(10007:10007): Movimiento personaje: x: 40, y: 19

[TRACE] 23:03:25:579 nivel2/(10007:10007): Personaje a mover *, posicionX 39 posicionY 19
[TRACE] 23:03:25:579 nivel2/(10007:10007): Movimiento personaje: x: 39, y: 19

[TRACE] 23:03:25:681 nivel2/(10007:10007): Personaje a mover *, posicionX 38 posicionY 19
[TRACE] 23:03:25:681 nivel2/(10007:10007): Movimiento personaje: x: 38, y: 19

[TRACE] 23:03:25:782 nivel2/(10007:10007): Personaje a mover *, posicionX 37 posicionY 19
[TRACE] 23:03:25:782 nivel2/(10007:10007): Movimiento personaje: x: 37, y: 19

[TRACE] 23:03:26:942 nivel2/(10007:10008): Deadlock check started.
[TRACE] 23:03:27:79 nivel2/(10007:10007): Personaje a mover *, posicionX 36 posicionY 19
[TRACE] 23:03:27:80 nivel2/(10007:10007): Movimiento personaje: x: 36, y: 19

[TRACE] 23:03:27:181 nivel2/(10007:10007): Personaje a mover *, posicionX 35 posicionY 19
[TRACE] 23:03:27:181 nivel2/(10007:10007): Movimiento personaje: x: 35, y: 19

[TRACE] 23:03:27:282 nivel2/(10007:10007): Personaje a mover *, posicionX 34 posicionY 19
[TRACE] 23:03:27:282 nivel2/(10007:10007): Movimiento personaje: x: 34, y: 19

[TRACE] 23:03:28:585 nivel2/(10007:10007): Personaje a mover *, posicionX 33 posicionY 19
[TRACE] 23:03:28:585 nivel2/(10007:10007): Movimiento personaje: x: 33, y: 19

[TRACE] 23:03:28:686 nivel2/(10007:10007): Personaje a mover *, posicionX 32 posicionY 19
[TRACE] 23:03:28:686 nivel2/(10007:10007): Movimiento personaje: x: 32, y: 19

[TRACE] 23:03:28:787 nivel2/(10007:10007): Personaje a mover *, posicionX 31 posicionY 19
[TRACE] 23:03:28:787 nivel2/(10007:10007): Movimiento personaje: x: 31, y: 19

[TRACE] 23:03:30:86 nivel2/(10007:10007): Personaje a mover *, posicionX 30 posicionY 19
[TRACE] 23:03:30:86 nivel2/(10007:10007): Movimiento personaje: x: 30, y: 19

[TRACE] 23:03:30:186 nivel2/(10007:10007): Personaje a mover *, posicionX 29 posicionY 19
[TRACE] 23:03:30:186 nivel2/(10007:10007): Movimiento personaje: x: 29, y: 19

[TRACE] 23:03:30:287 nivel2/(10007:10007): Personaje a mover *, posicionX 28 posicionY 19
[TRACE] 23:03:30:287 nivel2/(10007:10007): Movimiento personaje: x: 28, y: 19

[TRACE] 23:03:31:588 nivel2/(10007:10007): Personaje a mover *, posicionX 27 posicionY 19
[TRACE] 23:03:31:588 nivel2/(10007:10007): Movimiento personaje: x: 27, y: 19

[TRACE] 23:03:31:689 nivel2/(10007:10007): Personaje a mover *, posicionX 26 posicionY 19
[TRACE] 23:03:31:689 nivel2/(10007:10007): Movimiento personaje: x: 26, y: 19

[TRACE] 23:03:31:791 nivel2/(10007:10007): Personaje a mover *, posicionX 25 posicionY 19
[TRACE] 23:03:31:791 nivel2/(10007:10007): Movimiento personaje: x: 25, y: 19

[TRACE] 23:03:33:92 nivel2/(10007:10007): Personaje a mover *, posicionX 24 posicionY 19
[TRACE] 23:03:33:92 nivel2/(10007:10007): Movimiento personaje: x: 24, y: 19

[TRACE] 23:03:33:194 nivel2/(10007:10007): Personaje a mover *, posicionX 23 posicionY 19
[TRACE] 23:03:33:194 nivel2/(10007:10007): Movimiento personaje: x: 23, y: 19

[TRACE] 23:03:33:295 nivel2/(10007:10007): Personaje a mover *, posicionX 22 posicionY 19
[TRACE] 23:03:33:296 nivel2/(10007:10007): Movimiento personaje: x: 22, y: 19

